SKU_ID,Product,Price,MFG_Date,Warehouse
SUG-KOH-744,Kohl Pencil,599.0,2025-01-22,
SUG-MAT-323,Matte Crayon Lipstick,799.0,2025-01-02,
SUG-KOH-566,Kohl Pencil,599.0,2025-07-13,
SUG-VIT-631,Vitamin C Serum,799.0,2025-01-12,
SUG-VIT-351,Vitamin C Serum,599.0,2025-06-29,
SUG-MAT-452,Matte Crayon Lipstick,599.0,2025-06-04,
SUG-ACE-642,Ace Foundation Stick,1299.0,2024-08-17,
SUG-MAT-987,Matte Crayon Lipstick,1299.0,2025-05-13,
SUG-VIT-139,Vitamin C Serum,599.0,2025-05-17,
SUG-MAT-987,Matte Crayon Lipstick,799.0,2024-09-19,
SUG-MAT-755,Matte Crayon Lipstick,1299.0,2024-08-12,
SUG-ACE-609,Ace Foundation Stick,1299.0,2024-10-29,
SUG-ACE-171,Ace Foundation Stick,799.0,2025-02-12,
SUG-VIT-685,Vitamin C Serum,799.0,2025-08-29,
SUG-KOH-532,Kohl Pencil,599.0,2024-08-28,
SUG-VIT-787,Vitamin C Serum,499.0,2025-10-10,
